"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2001";"3";"Høst";"S";"Studenter";"1002";"715";"287"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"1997";"3";"Høst";"S";"Studenter";"722";"514";"208"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2011";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"1996";"3";"Høst";"S";"Studenter";"931";"346";"585"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2006";"3";"Høst";"S";"Studenter";"1044";"501";"543"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"1997";"3";"Høst";"S";"Studenter";"934";"333";"601"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2001";"3";"Høst";"S";"Studenter";"1136";"450";"686"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"1999";"1";"Vår";"S";"Studenter";"957";"328";"629"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2000";"1";"Vår";"S";"Studenter";"944";"341";"603"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2009";"1";"Vår";"S";"Studenter";"1026";"495";"531"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2002";"1";"Vår";"S";"Studenter";"989";"408";"581"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2008";"1";"Vår";"S";"Studenter";"909";"456";"453"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"1998";"1";"Vår";"S";"Studenter";"881";"320";"561"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2004";"1";"Vår";"S";"Studenter";"790";"342";"448"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2011";"1";"Vår";"S";"Studenter";"1205";"523";"682"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2005";"1";"Vår";"S";"Studenter";"816";"352";"464"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"1997";"1";"Vår";"S";"Studenter";"828";"301";"527"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2006";"1";"Vår";"S";"Studenter";"919";"431";"488"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2007";"1";"Vår";"S";"Studenter";"846";"397";"449"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2010";"1";"Vår";"S";"Studenter";"1121";"516";"605"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"1996";"1";"Vår";"S";"Studenter";"619";"207";"412"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2003";"1";"Vår";"S";"Studenter";"941";"403";"538"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2001";"1";"Vår";"S";"Studenter";"1195";"467";"728"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2004";"3";"Høst";"S";"Studenter";"839";"349";"490"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2005";"3";"Høst";"S";"Studenter";"976";"428";"548"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2000";"3";"Høst";"S";"Studenter";"1062";"431";"631"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2008";"3";"Høst";"S";"Studenter";"1199";"587";"612"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2007";"3";"Høst";"S";"Studenter";"835";"395";"440"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"1999";"3";"Høst";"S";"Studenter";"1049";"413";"636"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2010";"3";"Høst";"S";"Studenter";"1342";"605";"737"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2002";"3";"Høst";"S";"Studenter";"1065";"464";"601"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"1998";"3";"Høst";"S";"Studenter";"1000";"335";"665"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2003";"3";"Høst";"S";"Studenter";"877";"376";"501"
"0211";"Høgskolen i Bodø";"415000";"Handelshøgskolen i Bodø";"2009";"3";"Høst";"S";"Studenter";"1262";"579";"683"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"2000";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"2001";"3";"Høst";"S";"Studenter";"17";"5";"12"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"1996";"3";"Høst";"S";"Studenter";"291";"165";"126"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"1999";"3";"Høst";"S";"Studenter";"243";"147";"96"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"2000";"3";"Høst";"S";"Studenter";"309";"203";"106"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"1997";"3";"Høst";"S";"Studenter";"231";"143";"88"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"1998";"1";"Vår";"S";"Studenter";"119";"73";"46"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"1997";"1";"Vår";"S";"Studenter";"129";"77";"52"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"2004";"1";"Vår";"S";"Studenter";"0";"0";"0"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"2001";"1";"Vår";"S";"Studenter";"79";"42";"37"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"2006";"1";"Vår";"S";"Studenter";"5";"0";"0"
